Fish#,Time_Start,Time_End,Treatment,Tpref,Upper_Avoidance,Lower_Avoidance,Distance(m),Dist_Static,Passage#,Time INCR,Time DECR,Length(mm),Weight(g)
82,14:31,16:29,8,13.44,16.15,13.88,250,142,60,1406,5540,126,13.6
83,18:39,20:37,5,13.75,16.03,13.75,273,337,64,1253,5678,112,10.7
84,10:30,12:32,2,12.42,14.77,8.55,86,54,1,2829,4393,145,17.8
85,14:33,16:31,2,9.78,12.06,9.06,237,316,9,727,6186,120,13.4
86,18:35,20:31,8,22.32,NA,NA,175,184,0,6690,0,119,8.5
87,10:30,12:25,8,22.57,NA,NA,199,136,0,6780,0,117,10.7
88,14:30,16:30,8,14.27,15.89,13.45,196,159,38,2700,4298,125,16.6
89,18:30,20:33,8,16.84,18.39,15.82,241,186,11,3644,3462,104,7.8
90,10:46,12:30,5,16.18,18.23,15.97,236,293,65,2203,3887,111,9.1
91,14:35,16:33,8,14.98,16.91,12.86,264,286,6,4258,2650,119,11.6
92,10:29,12:31,5,15.82,16.77,14.5,101,128,18,3297,3843,122,12.9
93,14:27,16:27,5,17.8,17.86,15.38,189,301,10,5669,1303,110,9.5
94,18:34,20:39,8,12.95,16.83,10.2,92,214,2,2800,4970,125,12.7
95,14:46,16:48,5,13.99,15.71,13.69,223,168,117,2614,4473,112,10.4
96,18:38,20:35,5,15.27,16.77,16.7,330,293,94,2966,3796,113,9.3
97,10:36,12:30,5,16.13,17.83,15.57,166,203,154,2710,3906,115,9.9
98,14:33,16:35,5,17.47,18.24,15.45,92,103,15,3962,3160,116,9.9
99,18:32,20:30,5,16.08,17.06,13.41,63,143,8,4039,2742,110,8.3
100,10:31,12:29,5,15.13,17.69,15.32,175,183,56,1572,5345,111,10.7
101,14:34,16:30,5,13.72,15.88,13.54,127,238,65,1601,5130,125,12.5
102,14:36,16:30,5,22.63,22.61,NA,228,234,0,6640,0,115,11.1
103,18:31,20:30,2,17.76,21.05,17.87,270,260,12,3252,3740,127,13.7
104,10:32,12:30,5,17.34,18.95,16.77,149,214,74,2953,4000,102,6.6
105,14:30,16:30,8,14.6,17.19,14.31,170,257,7,1322,5593,110,NA
