Fish#,Time_Start,Time_End,Treatment,Tpref,Upper_Avoidance,Lower_Avoidance,Distance(m),Dist_Static,Passage#,Time INCR,Time DECR,Length(mm),Weight(g)
1,10:29,12:30,2,15.37,17.48,15.16,204,224,66,2595,4425,53,0.89
2,14:30,16:30,8,15.71,16.87,14.78,219,246,247,3249,3478,57,1.51
3,18:31,20:33,5,16.19,17.7,15.54,126,145,55,3550,3499,47,0.95
4,10:31,12:30,5,15.09,16.67,14.59,146,169,137,2590,4142,45,0.56
5,14:31,16:30,5,16.9,17.54,15.45,229,242,158,3999,2734,61,1.67
6,18:31,20:31,8,17.39,18.02,15.95,166,212,143,3957,2747,55,0.92
7,10:32,12:32,2,15.62,17.62,15.55,152,293,147,1645,5280,61,1.74
8,14:30,16:30,2,15.2,16.56,14.48,218,247,288,2664,3877,54,1.18
9,18:30,20:30,8,14.7,18.53,16.4,148,352,160,1299,5426,65,1.82
10,10:31,12:31,8,15.64,17.76,15.66,180,255,140,2002,4859,55,0.95
11,14:31,16:30,2,15.46,17.27,15.19,182,216,164,2595,4120,49,0.63
12,18:30,20:30,5,15.59,16.92,14.85,190,268,194,3130,3405,56,0.89
13,10:30,12:30,8,19.07,18.31,16.06,175,214,32,5336,1675,69,1.87
14,14:34,16:30,2,15.44,17.18,15.07,157,236,115,2860,3672,49,0.66
15,18:30,20:30,2,15.28,17.8,15.66,146,245,130,2023,4675,58,0.79
16,10:30,12:32,5,15.52,17.07,14.98,237,299,408,2651,4110,66,1.92
17,14:30,16:30,2,16.1,16.93,14.86,229,244,344,3574,2978,56,1.04
18,18:30,20:30,8,14.91,17.32,15.21,140,276,167,1743,4943,66,1.63
19,10:30,12:30,2,16.99,18.01,15.92,236,280,166,3469,3328,52,0.89
20,14:41,16:30,5,15.68,17.63,15.49,145,295,55,1875,4501,54,1.27
21,18:30,20:30,2,15.58,16.62,14.55,214,316,355,2952,3379,46,0.71
22,10:35,12:31,2,16.99,18.01,15.93,192,161,193,3376,3203,53,1.17
23,14:29,16:29,2,14.78,16.67,14.52,152,227,151,2247,4522,47,0.85
24,18:31,20:30,5,14.75,16.75,14.69,149,223,166,1960,4655,54,1.31
25,10:30,12:30,2,16.06,17.26,15.18,223,250,251,3304,3442,62,1.22
26,14:30,16:31,2,13.71,16.03,13.55,287,305,18,1233,5777,51,0.89
27,18:30,20:30,8,15.74,17.57,15.41,136,226,81,2764,4020,47,0.85
28,12:40,16:32,8,16.82,18.36,16.7,185,224,147,3025,3940,51,0.93
29,14:31,16:30,5,14.03,15.41,13.27,230,212,178,2907,3748,51,1.39
30,18:30,20:30,2,15.21,16.66,14.42,133,177,88,3366,3470,54,0.99
31,10:30,12:30,5,13.08,14.28,12.23,259,313,324,3408,3238,58,1.38
32,18:31,20:30,5,15.86,17.57,15.45,272,233,382,2860,3647,60,1.4
33,10:30,12:30,5,15.2,17.44,15.16,121,221,80,1593,5423,57,1.44
34,10:30,12:30,2,15.26,16.83,14.96,180,230,150,2537,4292,60,1.43
35,14:31,16:30,8,16.02,17.88,15.62,249,350,279,2766,3858,71,2.2
