Fish#,Time_Start,Time_End,Treatment,Tpref,Upper_Avoidance,Lower_Avoidance,Distance(m),Dist_Static,Passage#,Time INCR,Time DECR,Length(mm),Weight(g)
36,18:34,20:50,2,16.75,17.67,15.16,257,311,266,4080,3420,54,1.19
37,10:30,12:30,8,14.75,17.37,15.16,99,252,23,1767,5299,65,1.63
38,14:30,16:30,2,15.43,17.05,14.97,214,335,257,2578,4136,64,1.88
39,18:43,20:41,8,17.62,17.9,15.82,214,310,156,4750,1883,67,2.36
40,10:30,12:30,8,17.28,17.63,15.4,175,244,66,4173,2784,59,1.41
41,14:30,16:30,8,17.79,18.01,15.71,143,326,39,5293,1602,55,1.08
42,18:43,20:52,5,15.18,17.39,15.3,159,139,93,2166,5120,66,1.77
43,10:33,12:33,5,19.53,18.42,16.21,131,152,66,5618,1350,48,0.84
44,14:30,16:30,8,15.13,16.96,14.78,154,167,63,2888,3949,57,0.98
45,18:35,20:31,5,11.35,16.28,11.22,87,173,3,725,5989,61,1.98
46,10:43,12:30,2,16.06,17.976,15.769,120,208,85,2150,4043,57,1.28
47,14:35,16:30,2,18.3,18.35,16.1,121,202,61,4550,1992,52,0.87
48,18:30,20:30,8,17.6,18.11,15.95,175,291,130,3957,2762,59,1.51
49,10:31,12:30,8,16.53,17.62,15.58,264,212,309,3112,3650,51,1.02
50,14:31,16:30,5,16.63,18.24,16.2,221,265,131,3001,3788,58,0.92
51,18:30,20:30,8,16.46,17.89,15.84,207,229,199,2919,3760,54,0.92
52,18:36,20:30,8,15.7,18.02,15.91,133,193,71,1470,4929,43,0.51
53,14:30,16:30,8,15.81,17.66,15.62,240,283,264,2182,4555,53,1.17
55,10:31,12:30,8,17.14,18.37,16.35,365,302,528,3179,3230,54,0.96
56,14:34,16:33,5,15.72,17.37,15.26,243,345,158,2057,4700,64,1.73
57,10:31,12:40,8,15.32,17.48,15.41,234,263,199,1665,5966,44,0.61
58,14:33,16:34,8,16.29,17.77,15.73,227,208,241,2653,4186,35,0.58
59,14:30,16:30,5,13.815,17.76,15.75,209,196,289,1826,4940,53,0.89
60,18:30,20:29,5,17.64,18.41,16.39,309,304,307,3542,3008,49,0.8
61,10:31,12:30,8,17.85,18.44,16.34,298,289,427,3982,2552,47,0.52
62,14:29,16:30,2,18.36,19.21,16.95,178,250,49,4308,2640,59,1.36
63,18:32,20:30,2,17.29,18.26,16.15,239,245,280,3446,3028,51,0.94
64,10:34,12:30,5,16.24,17.95,15.93,165,195,236,2154,4400,55,1.28
65,18:34,20:30,5,16.87,18.48,16.47,253,352,383,2783,3446,55,0.83
67,10:35,12:35,5,13.12,15.45,13.27,107,48,98,1385,5820,57,1.05
68,14:31,16:30,5,16.48,18.1,15.93,257,307,154,2859,3928,63,1.38
69,18:34,20:31,2,17.78,18.37,16.27,246,256,488,3522,2584,65,1.82
70,10:38,12:32,5,11.31,15.66,12.25,56,159,4,238,6540,55,1.11
71,12:42,14:30,2,16.35,18.17,16.87,117,156,66,2656,4250,62,1.63
72,14:30,16:30,2,15.56,17.55,15.38,229,309,182,1924,4846,56,1.03
73,18:30,20:30,5,15.65,17.86,15.33,64,206,13,1603,5235,61,1.79
76,14:30,16:30,5,16.94,18.27,15.9,95,225,31,3784,3206,50,0.77
77,18:30,20:30,2,15.9,17.66,15.55,232,298,325,2376,4271,57,1.17
78,10:30,12:30,2,13.42,16.34,13.68,125,251,21,967,6116,57,1.12
81,18:30,20:32,2,16.73,18.48,16.41,209,326,240,2246,4460,51,1.07
83,10:32,12:30,5,16.13,17.92,15.81,156,221,114,1814,5003,58,1
84,14:30,16:30,2,17.41,18.2,16.09,254,311,331,3632,2993,57,1.22
88,10:35,12:32,5,14.07,18.05,15.82,183,223,66,3518,3341,58,1.33
89,14:33,16:30,8,13.55,16.36,14.09,119,167,94,1673,4987,45,0.61
90,18:30,20:30,8,15.57,17.35,15.23,152,219,220,2482,4157,60,1.27
91,10:33,12:37,2,15.76,17.85,15.68,145,212,119,2643,4722,54,1.17
92,14:31,16:30,5,15.73,17.64,15.45,126,134,78,2934,3854,56,0.97
93,18:30,20:30,2,16.29,17.88,15.69,227,322,137,2801,3898,55,0.93
95,14:35,16:30,2,16.66,17.94,15.87,153,303,133,2992,3419,57,1.3
96,18:34,21:12,5,13.19,15.3,12.86,112,209,25,1440,7700,60,1.89
